Name,Symbol,Intended use (description),Legal Risk,Compliance Risk.,Analytics and Blockchain Surveillance Risk,Adverse Media Review,Conflicts of Interest,Risk of Illegal Activity,Reputational Risk,Consumer Protection Risk,Operational Risk,Operational Risk,Cybersecurity Risk,Information Technology Risk.,Security Risk.
Bitcoin,BTC,,,,,,,,,,,,,,
Ethereum,ETH,,,,,,,,,,,,,,
Tether USDt,USDT,Stable coin pegged to USD,,,,,,,,,,,,,
BNB,BNB,More centralized Ethereum fork,,,,,,,,,,,,,
Solana,SOL,Proof of history/PoS hybrid. intended for fast transactions and cheap costs at the expense of more centralization,,,,,,,,,,,,,
XRP,XRP,Fast and efficient cross-boarder payments for institutions and payment providers.,,,,,,,,,,,,,
USDC,USDC,Stable coin pegged to the dollar,,,,,,,,,,,,,
Dogecoin,DOGE,"Bitcoin fork intended for humor, evolved into a serious asset",,,,,,,,,,,,,
Cardano,ADA,"Platform for the development of dapps and smart contracts, emphasizing interoperability and sustainability",,,,,,,,,,,,,
Avalanche,AVAX,"achieves high throughput, nodes query a large number of randomly chosen peers to reach a consensus quickly",,,,,,,,,,,,,
Toncoin,TON,,,,,,,,,,,,,,
Shiba Inu,SHIB,"Meme coin, and token of exchange in shibaswap",,,,,,,,,,,,,
Polkadot,DOT,native coin to polkadot. Polkadot intends to interoperate many different chains.,,,,,,,,,,,,,
Chainlink,LINK,,,,,,,,,,,,,,
TRON,TRX,,,,,,,,,,,,,,
Polygon,MATIC,,,,,,,,,,,,,,
Bitcoin Cash,BCH,,,,,,,,,,,,,,
Internet Computer,ICP,,,,,,,,,,,,,,
NEAR Protocol,NEAR,,,,,,,,,,,,,,
Uniswap,UNI,,,,,,,,,,,,,,
Aptos,APT,,,,,,,,,,,,,,
Litecoin,LTC,,,,,,,,,,,,,,
UNUS SED LEO,LEO,,,,,,,,,,,,,,
Dai,DAI,Stable coin pegged to USD governed by Maker DAO,,,,,,,,,,,,,
Stacks,STX,,,,,,,,,,,,,,
Filecoin,FIL,native crypto asset for IPFS (inter-planetary file system),,,,,,,,,,,,,
Cosmos,ATOM,,,,,,,,,,,,,,
Ethereum Classic,ETC,,,,,,,,,,,,,,
Arbitrum,ARB,,,,,,,,,,,,,,
Immutable,IMX,,,,,,,,,,,,,,
